A498_KIDNEY..ACH.000555.	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	KIDNEY
A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE..ACH.000157.	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
A549_LUNG..ACH.000681.	2.9712	1.6406	0.4962	1.8637	0.4884	1.7063	0	0.6707	0.2759	0.6661	0.4832	4.9753	3.6981	3.1106	0.2405	0.4691	0.08954	0	1.4266	0.6549	1.3264	1.2616	1.8717	0.4353	LUNG
A673_BONE..ACH.000052.	3.6758	1.599	0.9435	1.3769	0.1029	-9	0.2549	0.005817	1.0647	-9	0.5932	7.0239	4.71	0.6163	0.2491	1.6086	0.1048	0.7895	1.9556	0.3025	1.734	0.7322	5.4861	1.4081	BONE
A704_KIDNEY..ACH.000429.	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	KIDNEY
ABC1_LUNG..ACH.000528.	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	LUNG
ACHN_KIDNEY..ACH.000046.	2.0636	0.6207	1.2189	0.6881	1.2474	-9	0	0.8437	0.4928	-9	0.4761	3.9915	4.5464	1.2671	-9	0.4836	0.1702	0.3817	2.388	0.6473	0.9626	0.95	3.7264	1.8791	KIDNEY
AGS_STOMACH..ACH.000880.	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	STOMACH
ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE..ACH.000105.	3.2142	1.8822	4.0457	1.2336	1.0818	5.8889	2.1997	1.1767	1.1325	7.0051	1.5865	6.7188	6.3121	1.7295	0.7632	3.0952	1.7146	1.0265	2.4329	2.1035	2.8218	2.0343	6.526	3.0741	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
AM38_CENTRAL_NERVOUS_SYSTEM..ACH.000269.	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	CENTRAL_NERVOUS_SYSTEM
AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE..ACH.000557.	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE..ACH.000838.	5.2887	2.8999	0.3323	1.6147	1.0362	3.7332	1.279	1.233	0.5586	1.5625	1.1689	6.5985	5.9291	2.9921	0.6168	1.3265	1.0553	0.4187	1.805	0.9786	3.1165	1.5766	4.6146	1.295	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
AN3CA_ENDOMETRIUM..ACH.000940.	4.0092	0.3505	0.4755	0.6207	0.3018	-9	0.09343	0	0.7078	0.1972	0.8132	5.5767	3.5863	0.7369	0.6144	0.02807	0.5684	0.3717	1.095	0.1933	0.2236	1.06	1.4581	1.8901	ENDOMETRIUM
ASPC1_PANCREAS..ACH.000222.	3.4197	1.3966	0.6383	2.1312	0.2484	2.2418	0.1851	0.411	0.4818	0.2155	0.02477	4.0922	4.1905	2.611	0	0.6001	0.2758	0.2848	1.5547	0.4228	1.4991	0.5118	1.5994	1.1518	PANCREAS
AU565_BREAST..ACH.000248.	4.2668	0.7651	0.2328	0.09979	0.491	-9	0.8391	3.5677	0.7937	0.873	0.1964	6.6977	5.0888	0.04551	0.9007	0.7979	0.3374	0.6038	1.5268	0.6273	0.1526	0.7107	3.8426	1.1876	BREAST
BC3C_URINARY_TRACT..ACH.000593.	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	URINARY_TRACT
BCP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE..ACH.000923.	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE..ACH.000080.	3.8043	0.3316	1.9092	1.4573	0	-9	0	0	0.2428	0	0.1665	6.3787	3.844	2.3201	0.8172	0	0.03856	0.2138	0.6449	0.2804	0.175	0.6067	3.7961	2.0069	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
